,10NN0065:D25PAACXX:3:250184947,10NN0065:D25PAACXX:3:250184960,10NN0273:D25PAACXX:3:250184953,10NN0437:D25PAACXX:3:250184955,10NN0439:D25PAACXX:3:250184957,10NN0451:D25PAACXX:3:250184948,10NN0451:D25PAACXX:3:250184959,10NN0527:D25PAACXX:3:250184956,10NN0583:C25A5ACXX:7:250185066,10NN0655:D25PAACXX:3:250184954,10NN0739:D25PAACXX:3:250184949,10NN0769:C25A5ACXX:7:250184997,10NN0771:C25A5ACXX:7:250184998,10NN0773:C25A5ACXX:7:250184999,10NN0775:C25A5ACXX:7:250185000,10NN0777:C25A5ACXX:7:250185001,10NN0779:C25A5ACXX:7:250185002,10NN0781:C25A5ACXX:7:250185003,10NN0783:C25A5ACXX:7:250185004,10NN0785:C25A5ACXX:7:250185005,10NN0787:C25A5ACXX:7:250185006,10NN0789:C25A5ACXX:7:250185007,10NN0791:C25A5ACXX:7:250185008,10NN0793:C25A5ACXX:7:250185009,10NN0795:C25A5ACXX:7:250185010,10NN0797:C25A5ACXX:7:250185011,10NN0799:C25A5ACXX:7:250185012,10NN0801:C25A5ACXX:7:250185013,10NN0803:C25A5ACXX:7:250185014,10NN0805:C25A5ACXX:7:250185015,10NN0807:C25A5ACXX:7:250185016,10NN0809:C25A5ACXX:7:250185017,10NN0811:C25A5ACXX:7:250185018,10NN0813:C25A5ACXX:7:250185019,10NN0815:C25A5ACXX:7:250185020,10NN0817:C25A5ACXX:7:250185021,10NN0819:C25A5ACXX:7:250185022,10NN0821:C25A5ACXX:7:250185023,10NN0823:C25A5ACXX:7:250185024,10NN0825:C25A5ACXX:7:250185025,10NN0827:C25A5ACXX:7:250185026,10NN0829:C25A5ACXX:7:250185027,10NN0831:C25A5ACXX:7:250185028,10NN0833:C25A5ACXX:7:250185029,10NN0835:C25A5ACXX:7:250185030,10NN0837:C25A5ACXX:7:250185031,10NN0839:C25A5ACXX:7:250185032,10NN0841:C25A5ACXX:7:250185033,10NN0843:C25A5ACXX:7:250185034,10NN0845:C25A5ACXX:7:250185035,10NN0847:C25A5ACXX:7:250185036,10NN0849:C25A5ACXX:7:250185037,10NN0851:C25A5ACXX:7:250185038,10NN0853:C25A5ACXX:7:250185039,10NN0855:C25A5ACXX:7:250185040,10NN0857:C25A5ACXX:7:250185041,10NN0859:C25A5ACXX:7:250185042,10NN0861:C25A5ACXX:7:250185043,10NN0863:C25A5ACXX:7:250185044,10NN0865:C25A5ACXX:7:250185045,10NN0867:C25A5ACXX:7:250185046,10NN0869:C25A5ACXX:7:250185047,10NN0871:C25A5ACXX:7:250185048,10NN0873:C25A5ACXX:7:250185049,10NN0875:C25A5ACXX:7:250185050,10NN0877:C25A5ACXX:7:250185051,10NN0879:C25A5ACXX:7:250185052,10NN0881:C25A5ACXX:7:250185053,10NN0883:C25A5ACXX:7:250185054,10NN0885:C25A5ACXX:7:250185055,10NN0887:C25A5ACXX:7:250185056,10NN0889:C25A5ACXX:7:250185057,10NN0891:C25A5ACXX:7:250185058,10NN0893:C25A5ACXX:7:250185059,10NN0895:C25A5ACXX:7:250185060,10NN0897:C25A5ACXX:7:250185061,10NN0899:C25A5ACXX:7:250185062,10NN0901:C25A5ACXX:7:250185063,10NN0903:C25A5ACXX:7:250185064,10NN0905:C25A5ACXX:7:250185065,10NN521:D25PAACXX:3:250184958
B73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B97,0.043348784647741424,0.057614916970984316,0.048237399156630285,0.030505707917839468,0.031159685672132176,0.028792809383796,0.0299197438499932,0.027992340612541723,0.028275905366803043,0.03216838096035325,0.059571618411828106,0.04834831378375833,0.04577948916489657,0.029885213824566544,0.04394416599524951,0.03729765928282183,0.040399083384779585,0.030206447697475124,0.032413230231560446,0.03411461875712836,0.04714185562263914,0.030191798595778967,0.049626971088951435,0.0431478826816227,0.02795153240067386,0.04336029465621698,0.03163578147725727,0.031111552909416234,0.046928397283638,0.03773399324048593,0.05788383262354948,0.05166319622471722,0.055502307233517144,0.0452165451140014,0.037487051240465,0.027690987663363642,0.02994485659575804,0.03789931881677113,0.04193619269846917,0.03713442643535037,0.031822034341679836,0.04849794389394051,0.036796450731931905,0.034959034833471105,0.03878140401176114,0.042817231529052306,0.04366060124098819,0.031622178739967984,0.044660925613954315,0.040451401605123,0.03327648086722682,0.046985947326015756,0.030219004070357543,0.053666984063870084,0.03851458108800971,0.03830216911341544,0.049592441063524784,0.04592493381745127,0.03290292877397483,0.029914512027958858,0.049748349360148165,0.04446002364783559,0.04305475624941142,0.047964298046437655,0.03684249076583411,0.03225209011290272,0.03944165995249506,0.03740229572350867,0.03682784166413795,0.04398811330033798,0.036778662537015144,0.03576264269794599,0.04441502997834026,0.03339576640960981,0.03378815306218544,0.038012326172712906,0.03647626322343019,0.031921438960332324,0.05206918561458213,0.04839540018206741,0.03500716759618705
CML103,0.047182663834507005,0.06247841873410834,0.051988615555253276,0.032224884638324146,0.03363329112996892,0.02996996934152288,0.031021565570425555,0.02876769663803116,0.028777113917692977,0.03431028890121274,0.06547206730215865,0.052861283470581465,0.04913308708890959,0.03090018729922883,0.04752063953792548,0.040182485952557835,0.0438353440969352,0.03200096265525432,0.034652450062258686,0.0355209325199594,0.050296644309347174,0.0326591258671745,0.05395264154694514,0.046549613368351665,0.028847220332953154,0.046856198139564084,0.03255239669767393,0.032634013121409663,0.05108246397890529,0.040396990655965845,0.06304659460703785,0.05611652314034886,0.06061902918310331,0.04872081951260346,0.04086576191024286,0.02869340476514351,0.03133547489248606,0.04079879458820329,0.04545406983436051,0.03928889074909228,0.03394929318084316,0.05318356370789691,0.03909949879144911,0.037353116596385856,0.04165367430861472,0.046284883173413977,0.047226611139595476,0.03403090960457889,0.048229028241375343,0.04242484487647668,0.034762318324979856,0.050048655944919376,0.03188376984168507,0.05651309525055196,0.04164425702895291,0.04094947106279233,0.054552208352080696,0.04987705218219297,0.034959034833471105,0.03147778045182015,0.05462336113174774,0.04829494919900805,0.046074563927633434,0.052320313072230534,0.039402944469440926,0.03422448701984953,0.042421705783256075,0.03937887808808296,0.03850621017275476,0.04720254475823751,0.040347811528843036,0.038203810859169816,0.04848852661427869,0.034650357333444945,0.03532316964706129,0.04168925069844824,0.03878663583379548,0.03382268308761209,0.05640531971664452,0.05245529408071655,0.03733323567265536
CML228,0.04960813652962781,0.06574935386997875,0.0528005943349831,0.03198735991796503,0.03389802132490661,0.03047850244326089,0.031029936485680504,0.028676662934633616,0.028890121273634755,0.034249599765614376,0.06640019253105087,0.053093576368906235,0.04974521026692756,0.03018970586696523,0.047467274953175195,0.04063451537632496,0.04399543785118606,0.031768669756929546,0.03501449214703513,0.035285500528414025,0.05098515208906654,0.03194445897728343,0.054490472852075464,0.04701524552940807,0.028374263621048668,0.04743274492774854,0.03266540405361571,0.03199468446881311,0.05136393600435288,0.04070880724921261,0.06373928784438468,0.05673178541158744,0.06171771181031506,0.04940200274147474,0.041126306647553075,0.028454833680377527,0.03052349611275623,0.04051522983394197,0.04548232167334596,0.03925959254569997,0.03379966307066099,0.053614665843526664,0.03873117852023145,0.0365421841810629,0.04121838671535749,0.04625349224120792,0.04722033295315427,0.033948246816436295,0.049158199834674426,0.04346702382571754,0.035250970502987374,0.05078948194498216,0.03142023040944239,0.05728321945400705,0.04158461425776141,0.040827046427188735,0.056294405089516476,0.05036884345342109,0.03475185468091117,0.030948320061944774,0.05535267712333497,0.048709309504127905,0.046763071707352805,0.052999403572288085,0.03880756312193284,0.033879186765582985,0.04321380363925541,0.039437474494867585,0.039472004520294236,0.0474934340633469,0.040440937961054316,0.038449706494783874,0.04976195209743745,0.03487741840973538,0.035895530977618266,0.04128326130858333,0.03901265054567904,0.03414391696052067,0.05750923416589061,0.05368791135200745,0.03773608596929967
CML247,0.035739622680994884,0.04888719145329552,0.039333884418587615,0.02349088093419414,0.024955791103809813,0.022185018154422458,0.022714478544297836,0.020992162730592557,0.02160637863742427,0.025834737205579213,0.050075861419497956,0.04001611401186577,0.037380322070964436,0.022627630298527764,0.03566009898607289,0.030178195858489677,0.032797245968881124,0.023551570069792506,0.02587554541744708,0.026939698019232176,0.03910891607111092,0.023897916688465925,0.0411388630204355,0.034599085477508396,0.020811141688204336,0.035577436197930294,0.024645020874969916,0.025086586654668355,0.038905921376178466,0.03017714949408281,0.048803482300746055,0.042164300139166465,0.04662704433445992,0.03682574893532422,0.030955644612792852,0.020577802425472694,0.022724942188366522,0.030598834350050747,0.03434586529104626,0.029459343510971132,0.025240402222478,0.040422103401730684,0.029041844112630666,0.0278939823582961,0.03137837583316766,0.034725695570739464,0.03545082610469922,0.025238309493664263,0.03619583756238948,0.03252833031631596,0.025659994349632204,0.0385512038422501,0.02362376921386642,0.04472266111395955,0.031059234689072818,0.03133442852807919,0.04280258242735615,0.03730289110485618,0.025935188188638575,0.02332764808672268,0.042619468656154194,0.036888530799736315,0.035011353053814524,0.03952641546945139,0.029815107409306364,0.02485847921397106,0.03199782356203371,0.030043214850003663,0.029116135985518318,0.03612154568950183,0.03107597651958271,0.02996369115508167,0.037757013257437036,0.026015758247967438,0.026932373468384098,0.031476734087413284,0.028791763019389134,0.02537224413774341,0.04291558978329793,0.04025049963900428,0.027935836934570833
CML277,0.04413565068170641,0.058890435182956814,0.04886207870753068,0.029111950527890843,0.031263275748412145,0.02801431426508596,0.028356475426131903,0.02637884669715075,0.026500224968347478,0.03178122612981197,0.06141740522554385,0.049087047055007375,0.04597097385135347,0.028163944375268132,0.04476033023260681,0.03778421873201561,0.04094214651194425,0.029672801849972272,0.032273017401040084,0.03317289079094685,0.04724021387688476,0.029913465663551988,0.051334637800960564,0.0433561091985895,0.026417562180204877,0.04368466762234616,0.03025039500256359,0.030501522460211993,0.047511222258263666,0.037311262020111126,0.059921104123722126,0.052628990572256694,0.05738785589469388,0.04632673774968871,0.03795791522355575,0.026389310341219434,0.028770835731251766,0.038680953028701774,0.042466699452751416,0.03671274157938244,0.03151021774843307,0.050116669631365816,0.036074459291192754,0.034134499680858854,0.03835762642697946,0.04305161715619082,0.04340528832571231,0.031382561290795134,0.04538082432587973,0.040209691427136415,0.032935366070587745,0.0471167428768743,0.02932122340926451,0.05390241605541546,0.038775125825319924,0.038673628477853696,0.052011635572204375,0.046547520639537925,0.03205432724000461,0.028589814688863544,0.05134824053824985,0.04524898241061432,0.043485858385041175,0.0489374169448252,0.03652125689292553,0.031474641358599544,0.039481421799956055,0.03595517374880976,0.036090154757295774,0.044093796105431675,0.037851186054055186,0.035679979909803386,0.04619384947001643,0.03231382561290795,0.03318230807060867,0.038673628477853696,0.036231413952223,0.031246533917902247,0.05286860802142954,0.049482572800803606,0.0342454143079869
CML322,0.04405508062237755,0.05880463330159361,0.04791511891931484,0.029484456256735972,0.031041446494156053,0.02768052401929496,0.02883047850244326,0.02691353890906047,0.0265985832225931,0.0313208257907899,0.06043800814071509,0.048898701461771076,0.04592284108863753,0.02804570519729201,0.04348062656300683,0.03739078571503312,0.04062300536784941,0.029055446849919953,0.03272818591802781,0.033398905502830416,0.04699955006330505,0.029714656426247005,0.05026525337714112,0.04299092802059245,0.026595444129372495,0.043665833063022526,0.030581046155133986,0.030192844960185834,0.047389843987066936,0.03796733250321757,0.058437359394782826,0.0524866850129226,0.056842700038715485,0.04500936496144147,0.038228923604934656,0.026966903493810753,0.028853498519394363,0.03760529041844113,0.04243530852054536,0.03671692703700991,0.03169333151963503,0.048906026012619154,0.03605143927424165,0.034268434324938,0.03852923018970587,0.043297512791804875,0.043580031181659325,0.031375236739947056,0.04441607634274713,0.04021492324917075,0.032196632799338695,0.047191034749761954,0.029746047358453057,0.05261015601293306,0.03845703104563195,0.03790768973202607,0.0510228212077138,0.04597829840220155,0.032153731858657095,0.02901149954483148,0.05089621111448273,0.045011457690255205,0.043153114503657046,0.04879301865667737,0.036939802655672864,0.031570906884031434,0.039582919147422284,0.03680482164718685,0.03580554363862759,0.043581077546066195,0.03784700059642771,0.03605039290983478,0.04585901285981856,0.03281921962142536,0.03327124904519248,0.03871548305412843,0.03642813046071425,0.031047724680597265,0.05236007491969153,0.04911634525839969,0.03477801379108288
CML333,0.046427188732748065,0.062235662191714884,0.052835124360409755,0.031633688748443536,0.0330358170536471,0.029394468917745293,0.029783716477100316,0.028329269951553326,0.02837112452782806,0.033563184714708746,0.06489970597160168,0.05223765028408794,0.04858583850411744,0.029771160104217896,0.04690642363109376,0.039195764316880995,0.043537130240977724,0.031222467536544278,0.034607456392763344,0.03567893354539652,0.05019200786866034,0.03184086890100346,0.05386997875880254,0.045792045537778985,0.02882524668040892,0.045896681978465824,0.03219244734171123,0.0326988877146355,0.05067647458904038,0.04035095062206364,0.062298444056126986,0.05524071613180006,0.05996923688643807,0.04820077640238989,0.04064602538480051,0.028149295273571975,0.030469085163599075,0.03957873368979481,0.044574077368184244,0.0389247559355021,0.03343971371469828,0.05261852692818801,0.03852923018970587,0.0368330734861723,0.04061568081700133,0.04545093074113991,0.046075610292040305,0.033295315426550454,0.04778641609727004,0.042895708859567436,0.034443177180885014,0.05027990247883728,0.03129048122299072,0.056610407140390714,0.04067532358819283,0.04117339304586215,0.05422888175035838,0.049027404283815884,0.03435632893511494,0.031127248375519258,0.05378836233506681,0.048056378114242064,0.04589982107168643,0.05140997603825508,0.03923552616434199,0.03380384852828846,0.0423913612154569,0.03844447467274953,0.03827391727442999,0.04693781456329982,0.03991461666439954,0.03788885517270245,0.04824995552951271,0.034075903274074226,0.03515470497755548,0.040663813579717274,0.038203810859169816,0.03329950088417792,0.05548556540300725,0.05224916029256349,0.0366907679268382
CML52,0.04122571126620557,0.05516328516569181,0.04548859985978717,0.026815180654814846,0.02897069133296362,0.02561813977335747,0.026143414705605373,0.024461907103767958,0.02403394406135881,0.028903724010924045,0.05680398455566135,0.045809833732695746,0.042362063012064584,0.025577331561489603,0.04083123188481621,0.034347958019859993,0.03765446954556394,0.02693132710397723,0.03024620954493612,0.030639642561918614,0.04424865803764819,0.02712699724806161,0.04729043936841444,0.0403655997237598,0.024326926095281944,0.04032688424070567,0.027803995019305423,0.028046751561698877,0.04433027446138392,0.0346650064351411,0.05526059705553056,0.04942606912283272,0.05298998629262627,0.042334857537486004,0.035896577342025136,0.02404545406983436,0.02639872762088125,0.03493078299448566,0.0396980192321778,0.03379547761303352,0.02883047850244326,0.04594586110558863,0.03359666837572853,0.03149870773995752,0.03547907794368467,0.03972522470675637,0.0403687388169804,0.02900731408720401,0.041862947189988384,0.03728301018112568,0.030041122121189926,0.04359258755454175,0.0271405999853509,0.05040337347884774,0.035806590003034454,0.03577624543523528,0.04917284893637058,0.04281513880023857,0.029602695434712094,0.026275256620870786,0.048340989232910254,0.04208582280865134,0.03991566302880641,0.04531071791061955,0.03427052705375174,0.029196706044847177,0.03722755286756166,0.0332409044773933,0.0335349328757233,0.041291632223838276,0.03560150257928826,0.03333507727401145,0.04263307139344348,0.029665477299124193,0.030713934434806266,0.0354780315792778,0.03338530276554113,0.028967552239743014,0.049884376733041046,0.04597725203779468,0.03189109439253315
CML69,0.04494658309702937,0.0604641672508868,0.049515010097416524,0.030330965061892454,0.03223639464679969,0.028501920078686602,0.02947294624826042,0.02748694660402432,0.02793792966338457,0.03277527231633689,0.06234134499680859,0.050055980495767455,0.04728834663960071,0.029428998943171948,0.044936119452960686,0.03859619751174544,0.042362063012064584,0.030229467714426226,0.03325764630790319,0.03412089694356957,0.04860781215666168,0.030645920748359822,0.05174899810608043,0.044196339817304774,0.02754240391758834,0.04475300568175873,0.03131977942638303,0.03133861398570666,0.04920110077535603,0.03871862214734904,0.06023605981018949,0.053951595182538274,0.05827098745409076,0.0465517060971654,0.039101591520262845,0.02754868210402955,0.029733490985570633,0.03882953677447708,0.0436072366562379,0.03724638742688529,0.03266749678242945,0.05076332283481045,0.03655160146072471,0.03561405895217068,0.03962791281691762,0.04384057591896954,0.044550010986826274,0.03262878129937532,0.04581506555473009,0.041040504766189874,0.033328799087570235,0.04791825801253544,0.03037072690935345,0.05481379945379778,0.03976812564743798,0.03982253659659513,0.05244901589427534,0.04740135399554249,0.03318230807060867,0.02980569012964455,0.05230671033494125,0.04668040891921021,0.04420471073255972,0.04964685201268194,0.03758227040149002,0.03235881928240329,0.0405570844102167,0.037729807782858456,0.037526813087926,0.045621488139459446,0.03885674224905566,0.03680691437600059,0.04697339095313334,0.03319695717230483,0.03425901704527619,0.03956199185928491,0.0372097646726449,0.032128619112892255,0.05385323692829265,0.050245372453410625,0.03577729179964214
HP301,0.04530862518180582,0.06008642970000733,0.050364657995793614,0.031033075578901108,0.03221860645188293,0.028999989536355932,0.029870564722870387,0.02819533530747418,0.028236143519342047,0.03295629335872511,0.06284778536973286,0.05069740187717774,0.0477613033515052,0.030188659502558363,0.045622534503866316,0.03869037030836359,0.042283585681549454,0.030797643587355733,0.034102062384245936,0.034420157163933915,0.04886103234312382,0.03152172775690862,0.05175841538574224,0.0444861827580073,0.028148248909165105,0.04553882535131685,0.031784365223032573,0.0319256244179598,0.04874802498718204,0.03925540708807249,0.06064728102208875,0.053762203224895104,0.058299239293076205,0.04759807050403374,0.0397608010965899,0.027602046688779833,0.03013843401102868,0.03972313197794264,0.04426330713934435,0.03849574652868608,0.03281921962142536,0.05130324686875451,0.03703083635907041,0.035550230723351714,0.04045977252037795,0.0446515083342925,0.04552522261402756,0.03264866222310582,0.04631941319884063,0.04037606336782848,0.033475290104531805,0.0483891219956262,0.03123293118061296,0.05554206908097814,0.039556760037250574,0.04017934685933723,0.05188607184338018,0.04753738136843537,0.03346378009605625,0.03052872793479057,0.052432274063765445,0.04564450815641055,0.04365850851217445,0.05009051052119411,0.03826973181680252,0.03374525212150384,0.04108654480009208,0.037807238748966715,0.037875252435413155,0.04583494647846059,0.03862444935073089,0.036032604714918016,0.0466113488683569,0.03367409934183679,0.0348104510876958,0.039555713672843704,0.037823980579476606,0.032556582155301404,0.054422459165629024,0.050776925572099736,0.036254433969174105
Il14H,0.05011771599577269,0.06648390168360033,0.05661249986920445,0.03531375236739947,0.036116313867467484,0.03179064340947378,0.03339367368079607,0.031916207138297986,0.03160229781623748,0.037146982808232795,0.06981552595506911,0.05703209199635865,0.05371720955539976,0.03345436281639444,0.05114943130094487,0.04354968661386014,0.04740449308876309,0.03451851541817953,0.03727463926587073,0.03805731984220825,0.05501574778432337,0.0348700938588873,0.05775722253031841,0.05003714593644382,0.03191202168067051,0.05068170641107472,0.03569148991827894,0.0352038841046783,0.05502097960635771,0.04399125239355858,0.06722368131925624,0.06036580899664117,0.06525128441230943,0.05302242358923919,0.04386673502914125,0.030531867028011174,0.03338425640113426,0.04302650441042598,0.04895311241092823,0.04289047703753309,0.036692860655651936,0.05682072638617125,0.04122361853739183,0.04043570613901998,0.04475300568175873,0.04968975295336354,0.05017945149577792,0.03742426937605291,0.052303571241720644,0.04580774100388201,0.03801755799474725,0.053451432996055204,0.034058115079157465,0.061243708734003706,0.04474149567328318,0.04400590149525474,0.056670049911582206,0.05364919586895332,0.037188837384507525,0.03385930584185248,0.057314610386213105,0.051307432326381984,0.04920947169061097,0.056180351369167825,0.04202931913068045,0.03743682574893532,0.045151670520775566,0.042240684740867854,0.04249495129173686,0.05080622377549205,0.042278353859515116,0.04064079356276617,0.05165691803827601,0.038279149096464335,0.03880547039311911,0.043837436825748935,0.04205652460525903,0.035954127384402894,0.060677625589887936,0.05692536282685808,0.04083646370685055
Ki11,0.04258389226632067,0.056256735970869214,0.04672749531751928,0.028311481756636565,0.03148301227385449,0.027451370214190793,0.028511337358348418,0.025412005985204406,0.02515355397670793,0.03016982494323473,0.05915307264908077,0.046831085393799245,0.04432190354612898,0.026487668595465058,0.04226370475781896,0.03594994192677542,0.03947305088470111,0.027860498697276314,0.030417813307662526,0.031129341104332995,0.04536826795299731,0.028150341637978842,0.04877313773294688,0.04115979030857286,0.0248637110360054,0.04170494616455127,0.028712239324467138,0.02926367336688675,0.04556498446148856,0.03574590086743609,0.05681340183532317,0.049963900427963046,0.054438154631732044,0.043751634944385734,0.036347560401385384,0.025230984942816184,0.02725256097688581,0.036038882901359225,0.040689972689888984,0.03461059548598395,0.030043214850003663,0.047389843987066936,0.03423181157069761,0.032650754951919554,0.03674099341836788,0.040715085435653824,0.04192782178321422,0.029689543680482166,0.043108120834161705,0.03834611641850391,0.030463853341564734,0.04559846812250835,0.028046751561698877,0.05227427303832833,0.036675072460735175,0.036511839613263715,0.05019200786866034,0.04441502997834026,0.030304805951720748,0.027134321798909688,0.04906507340246314,0.04330274461383921,0.04125187037637728,0.04640730780901757,0.034530025426655085,0.030148897655097363,0.037762245079471374,0.03518923500298214,0.03417530789272672,0.04237357302054014,0.035594178028440185,0.033946154087622554,0.04409274974102481,0.030531867028011174,0.03171007335014492,0.0363967395285082,0.034462011740208645,0.029745000994046186,0.05008527869915977,0.047275790266718284,0.03274283501972397
